City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,hermanus,-34.4187,19.2345,14.7,82,57,7.47,ZA,1699936174
79,torbay,47.6666,-52.7314,-0.14,83,100,2.06,CA,1699936175
80,hamilton,39.1834,-84.5333,9.98,56,0,0.89,US,1699935923
81,zhigansk,66.7697,123.3711,-15.12,95,100,10.22,RU,1699936176
82,marigot,18.0667,-63.0833,27.8,89,40,3.6,MF,1699936177
83,barrow,71.2906,-156.7887,-6.73,88,77,5.81,US,1699936178
84,panjab,34.388,67.0233,3.69,26,3,0.37,AF,1699936178
85,provideniya,64.3833,-173.3,-4.8,80,100,12.07,RU,1699936179
86,hualmay,-11.0964,-77.6139,19.26,88,25,5.08,PE,1699936180
87,norman wells,65.282,-126.8329,-20.98,84,40,1.54,CA,1699936180
88,cherskiy,68.75,161.3,-20.74,99,100,5.55,RU,1699936182
89,lasa,46.6166,10.7002,10.9,92,84,2.3,IT,1699936183
90,saint george,37.1041,-113.5841,17.46,26,0,0.45,US,1699936183
91,darasun,51.6667,114.0,-5.01,60,74,1.71,RU,1699936184
92,aloleng,16.1307,119.7824,30.36,63,96,3.36,PH,1699936184
93,salalah,17.0151,54.0924,27.05,89,40,1.54,OM,1699936037
94,husavik,66.0449,-17.3389,-1.18,88,18,5.28,IS,1699936186
95,kaitangata,-46.2817,169.8464,18.27,44,27,7.01,NZ,1699936186
96,shangrao,28.4532,117.9686,14.49,54,5,0.11,CN,1699936187
97,san julian,21.0167,-102.1667,18.89,53,99,2.75,MX,1699936187
98,luderitz,-26.6481,15.1594,15.9,75,0,2.49,NA,1699936188
99,saldanha,-33.0117,17.9442,19.03,66,16,2.88,ZA,1699936189
100,cabedelo,-6.9811,-34.8339,26.37,79,82,4.05,BR,1699936191
101,eydhafushi,5.1033,73.0708,27.4,76,93,1.43,MV,1699936192
102,harper,4.375,-7.7169,25.29,88,6,1.8,LR,1699936106
103,hofn,64.2539,-15.2082,4.58,86,85,6.35,IS,1699936193
104,qaqortoq,60.7167,-46.0333,-6.93,94,95,1.61,GL,1699935921
105,bada,51.392,109.8717,-4.06,64,100,1.57,RU,1699936194
106,tomatlan,19.9333,-105.25,24.3,85,8,1.16,MX,1699936195
107,namatanai,-3.6667,152.4333,29.81,59,23,2.04,PG,1699936196
108,mortka,59.3322,66.0214,1.58,97,100,5.01,RU,1699936196
109,erzin,36.9559,36.2,17.58,74,93,1.57,TR,1699936197
110,riberalta,-10.9833,-66.1,27.09,63,40,1.17,BO,1699936198
111,rio tuba,8.5061,117.4317,29.55,73,100,5.73,PH,1699936198
112,yumen,40.2833,97.2,4.15,28,86,12.06,CN,1699936199
113,tefe,-3.3542,-64.7114,26.42,74,95,0.5,BR,1699936200
114,riyadh,24.6877,46.7219,20.08,47,75,3.14,SA,1699936170
115,chuy,-33.6971,-53.4616,15.82,93,100,3.11,UY,1699936202
116,richards bay,-28.783,32.0377,17.96,75,100,4.74,ZA,1699936203
117,sorland,67.667,12.6934,2.92,63,6,8.52,NO,1699936204
118,aklavik,68.2191,-135.0107,-12.93,96,100,1.65,CA,1699936206
119,eureka,40.8021,-124.1637,13.44,94,100,0.45,US,1699936207
120,boa vista,2.8197,-60.6733,28.99,61,0,3.09,BR,1699936208
121,severo-kurilsk,50.6789,156.125,1.27,67,100,4.18,RU,1699936209
122,chicama,-7.8447,-79.1469,18.3,84,39,2.56,PE,1699936211
123,caravelas,-17.7125,-39.2481,24.2,83,28,5.22,BR,1699936212
124,gillette,44.2911,-105.5022,13.51,18,0,9.77,US,1699936164
125,tasiilaq,65.6145,-37.6368,2.09,63,100,9.1,GL,1699936214
126,calabozo,8.9242,-67.4293,24.58,77,67,2.3,VE,1699936215
127,cape town,-33.9258,18.4232,17.27,57,0,3.09,ZA,1699936215
128,saint-pierre,-21.3393,55.4781,26.82,47,52,2.57,RE,1699936216
129,bima,-8.4667,118.7167,33.25,55,48,1.3,ID,1699936217
130,iquique,-20.2208,-70.1431,19.02,77,36,0.82,CL,1699936218
131,moron,-34.6534,-58.6198,16.86,70,50,0.97,AR,1699936219
132,bambous virieux,-20.3428,57.7575,26.79,78,40,3.6,MU,1699936220
133,bathsheba,13.2167,-59.5167,27.34,83,40,9.26,BB,1699936221
134,zhanaozen,43.3,52.8,12.08,52,22,8.23,KZ,1699936221
135,nishihara,26.1842,127.7558,23.81,54,75,5.66,JP,1699936222
136,roma,43.2128,-75.4557,4.93,90,100,2.57,US,1699936012
137,esperance,-33.8667,121.9,21.74,64,57,9.55,AU,1699936224
138,loksa,59.5764,25.7214,1.07,88,100,3.8,EE,1699936225
139,bridgetown,13.1,-59.6167,27.27,83,40,9.26,BB,1699936225
140,dong hoi,17.4833,106.6,21.21,91,100,3.64,VN,1699936227
141,bandarbeyla,9.4942,50.8122,27.89,76,91,8.07,SO,1699936228
142,victoria,22.2855,114.1577,22.36,74,98,4.02,HK,1699935977
